fps,frametime,elapsed
41.1947,24.275,1083532647307
31.5538,31.6919,1083632753575
46.2209,21.6352,1083732855945
40.0026,24.9984,1083832969237
45.4236,22.015,1083933054385
43.0034,23.254,1084033179698
49.1006,20.3663,1084133311514
46.5938,21.4621,1084233443430
47.8848,20.8835,1084333554928
38.427,26.0233,1084433655034
42.7544,23.3894,1084533768946
37.9648,26.3402,1084633876978
11.8855,84.1362,1084734802713
30.9422,32.3183,1084834907628
40.6243,24.6158,1084934999639
40.8265,24.4939,1085035054731
39.8042,25.123,1085135150609
35.7861,27.9438,1085235246868
44.2193,22.6145,1085335821144
37.3802,26.7521,1085435928895
41.5697,24.056,1085536028400
40.5402,24.6669,1085636139487
36.2575,27.5805,1085736238461
33.5558,29.8011,1085836344829
49.2185,20.3176,1085936454353
64.5794,15.4848,1086036549400
62.3356,16.0422,1086136645098
65.2289,15.3306,1086237072007
60.2438,16.5992,1086337176432
59.0689,16.9294,1086437286146
57.7847,17.3056,1086537382546
64.1132,15.5974,1086637487771
60.3039,16.5827,1086737597356
61.4603,16.2707,1086838399098
49.7551,20.0984,1086938508652
59.2719,16.8714,1087038605933
45.0013,22.2216,1087138705739
58.1128,17.2079,1087238799724
60.4191,16.5511,1087338894260
68.4129,14.6171,1087438996620
59.8564,16.7067,1087539060198
60.4847,16.5331,1087639166446
104.815,9.54064,1087739267183
55.6124,17.9816,1087839367700
51.5453,19.4004,1087939888025
46.912,21.3165,1088039981739
40.6587,24.595,1088140085242
59.0194,16.9436,1088240295254
57.6479,17.3467,1088340729267
46.4302,21.5377,1088440827320
59.9873,16.6702,1088540943276
60.2077,16.6092,1088641043823
63.5372,15.7388,1088741243456
54.3083,18.4134,1088842151798
64.3844,15.5317,1088942444025
57.1451,17.4993,1089042553619
59.6668,16.7597,1089142667772
56.9329,17.5645,1089242778107
60.1814,16.6164,1089342893232
59.8131,16.7187,1089443000672
59.6321,16.7695,1089543286386
60.1573,16.6231,1089643427339
64.3099,15.5497,1089743713925
59.9224,16.6883,1089843846252
63.0643,15.8568,1089943956377
57.3572,17.4346,1090044066632
60.1655,16.6208,1090144193719
60.1315,16.6302,1090245067687
59.576,16.7853,1090345200695
57.5398,17.3793,1090445314958
59.9495,16.6807,1090545419693
42.6305,23.4574,1090645641207
64.0399,15.6153,1090745765269
58.1581,17.1945,1090846072513
59.4701,16.8152,1090946184773
60.8034,16.4465,1091046291531
63.828,15.6671,1091146404692
53.4369,18.7137,1091246561876
60.1916,16.6136,1091346669726
61.4756,16.2666,1091446780964
59.9729,16.6742,1091547074032
60.2154,16.607,1091647377670
78.1643,12.7936,1091747486012
22.0378,45.3766,1091847596277
36.8411,27.1436,1091947702976
31.8251,31.4218,1092047798133
30.5691,32.7128,1092147903279
34.5937,28.907,1092248012602
36.1933,27.6294,1092349221989
33.1303,30.1839,1092449331463
38.3913,26.0476,1092549437230
30.3231,32.9781,1092649544931
38.6936,25.8441,1092749653944
35.5243,28.1497,1092849752207
36.1598,27.655,1092949862963
36.3318,27.5241,1093049965634
36.9633,27.0538,1093150074837
38.6156,25.8963,1093250181867
36.6607,27.2771,1093350308322
38.808,25.7679,1093450432083
38.4328,26.0194,1093551081129
38.152,26.2109,1093651195272
31.7106,31.5352,1093753075547
40.6283,24.6134,1093853179270
38.9838,25.6517,1093953290618
37.1697,26.9036,1094053391405
36.7,27.2479,1094153485460
38.2909,26.1159,1094253583343
36.0503,27.739,1094353682687
36.5219,27.3809,1094454582424
36.7393,27.2188,1094554686227
41.8147,23.915,1094654784650
41.0747,24.3459,1094754943447
40.1588,24.9012,1094855039656
35.8801,27.8706,1094955140984
36.4769,27.4146,1095055273812
31.42,31.8269,1095155375671
39.4022,25.3793,1095255471650
40.9791,24.4027,1095355566767
36.8524,27.1353,1095455671933
34.5471,28.946,1095555767350
36.3576,27.5045,1095655861756
38.1793,26.1922,1095755977261
39.7913,25.1311,1095856146387
37.9075,26.38,1095956246103
34.3319,29.1274,1096056345888
38.078,26.2619,1096156457616
35.8363,27.9047,1096256563824
34.7969,28.7382,1096356664882
